m		X	Y	Phi		X	Y	Phi	move	ang	R	xC	yC
start	S	0.0	0.0	180.0	S	0.0	0.0	180.0
	S	0.0	0.0	180.0	F	0.09999577405387393	7.96161520844052E-4	180.91235317695993	-0.1	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.19996619371680993	0.003184444212941173	181.82470635391985	-0.2	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.29988591102659085	0.007164242516169317	182.73705953087978	-0.30000000000000004	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.39972959087681675	0.012734547334264157	183.6494127078397	-0.4	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.4994719174407317	0.01989394629067931	184.5617658847995	-0.5	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.5990876005901911	0.028640624086702537	185.47411906175944	-0.6000000000000001	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.6985513823080565	0.038972362961729345	186.38647223871936	-0.7000000000000001	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.7978380430925059	0.05088654325558739	187.2988254156793	-0.8	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.8969224083515491	0.06438014407276871	188.21117859263921	-0.9	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	0.9957793547861616	0.07944974404838323	189.12353176959914	-1.0	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.0943838167604139	0.09609152221567019	190.035884946559	-1.1	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.1927107926569782	0.11430125897481425	190.94823812351893	-1.2000000000000002	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.2907353512164008	0.13407433716284878	191.8605913004788	-1.3	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.3884326378585576	0.15540574322436207	192.77294447743873	-1.4000000000000001	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.4857778809846167	0.17829006848270001	193.68529765439865	-1.5	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.5827463982580128	0.20272151051136333	194.59765083135858	-1.6	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.6793136028627635	0.22869387460524493	195.51000400831845	-1.7000000000000002	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.7754550097375683	0.25620057535131924	196.42235718527837	-1.8	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.8711462417841114	0.28523463829840967	197.3347103622383	-1.9000000000000001	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	1.9663630360479851	0.3157887017255874	198.24706353919822	-2.0	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.061081249870672	0.3478550185087732	199.1594167161581	-2.1	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.1552768670110454	0.3814254580850598	200.07176989311802	-2.2	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.2489260037347694	0.41649150851424466	200.98412307007789	-2.3000000000000003	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.3420049148701496	0.45304427863708074	201.8964762470378	-2.4000000000000004	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.434489999828827	0.49107450032966504	202.80882942399774	-2.5	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.5263578085898155	0.5305725308534184	203.72118260095766	-2.6	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.6175850476453633	0.5715283553000443	204.6335357779176	-2.7	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.7081485859071304	0.6139315891308543	205.5458889548775	-2.8000000000000003	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.798025460571182	0.6577714808098181	206.45824213183744	-2.9000000000000004	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.8871928829403086	0.7030369145296627	207.37059530879725	-3.0	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	2.975628244202226	0.7497164130303426	208.28294848575717	-3.1	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	3.063309121162115	0.7977981405091441	209.1953016627171	-3.2	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	3.1502132819281434	0.8472699056217126	210.10765483967702	-3.3000000000000003	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	0.0	0.0	180.0	F	3.2363186915484645	0.898119164573222	211.02000801663695	-3.4000000000000004	114.64968152866243	6.279999999999999	0.0	6.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	3.4845039229578543	1.0534684552473115	211.86672749110966	-0.1	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	3.5698485052784643	1.1055845849033163	210.95437431414973	-0.2	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	3.656012107448306	1.1563351746823294	210.04202113718986	-0.30000000000000004	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	3.742972882287592	1.2057073565376202	209.12966796022994	-0.4	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	3.830708780489712	1.253688611924157	208.21731478327	-0.5	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	3.9191975562119454	1.3002667749727497	207.30496160631012	-0.6000000000000001	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.00841677271599	1.345430035574755	206.39260842935022	-0.7000000000000001	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.0983438080569154	1.3891669423765958	205.4802552523903	-0.8	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.1889558608190445	1.4314664056832882	204.56790207543037	-0.9	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.2802299558973615	1.4723177002702998	203.6555488984705	-1.0	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.372142950322971	1.5117104681029723	202.74319572151057	-1.1	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.464671539131083	1.5496347209628514	201.83084254455065	-1.2000000000000002	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.557792261270112	1.5860808429802438	200.91848936759075	-1.3	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.651481505550322	1.621039593072367	200.00613619063085	-1.4000000000000001	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.745715516630567	1.654502107286473	199.09378301367093	-1.5	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.840470401041552	1.686459901047332	198.18142983671103	-1.6	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	4.935722133244145	1.716904871308552	197.26907665975114	-1.7000000000000002	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
